geohash_id	consumption_level	activity_level	date_id
4885e281g	20	40	20230404
4885e281g	20	40	20230405
4885e281g	20	40	20230406
4885e281g	20	40	20230407
5324516fr	20	40	20230404
5324516fr	20	40	20230405
5324516fr	20	40	20230406
5324516fr	20	40	20230407
7941bac5t	20	40	20230404
7941bac5t	20	40	20230405
7941bac5t	20	40	20230406
7941bac5t	20	40	20230407
94bf2e47u	20	40	20230404
94bf2e47u	20	40	20230405
94bf2e47u	20	40	20230406
94bf2e47u	20	40	20230407
651310f3v	20	40	20230404
651310f3v	20	40	20230405
651310f3v	20	40	20230406
651310f3v	20	40	20230407
5da786a8w	20	40	20230404
5da786a8w	20	40	20230405
5da786a8w	20	40	20230406
5da786a8w	20	40	20230407
9292842fy	20	40	20230404
9292842fy	20	40	20230405
9292842fy	20	40	20230406
9292842fy	20	40	20230407
abb13720z	20	40	20230404
abb13720z	20	40	20230405
abb13720z	20	40	20230406
abb13720z	20	40	20230407
babadee5r	20	40	20230404
babadee5r	20	40	20230405
babadee5r	20	40	20230406
babadee5r	20	40	20230407
c2382486x	20	40	20230404
c2382486x	20	40	20230405
c2382486x	20	40	20230406
c2382486x	20	40	20230407
6b9789f2z	20	40	20230404
6b9789f2z	20	40	20230405
6b9789f2z	20	40	20230406
6b9789f2z	20	40	20230407
b5dbab8e1	20	40	20230404
b5dbab8e1	20	40	20230405
b5dbab8e1	20	40	20230406
b5dbab8e1	20	40	20230407
dc36a53e3	20	40	20230404
dc36a53e3	20	40	20230405
dc36a53e3	20	40	20230406
dc36a53e3	20	40	20230407
66c0fb934	20	40	20230404
66c0fb934	20	40	20230405
66c0fb934	20	40	20230406
66c0fb934	20	40	20230407
b72036c45	20	40	20230404
b72036c45	20	40	20230405
b72036c45	20	40	20230406
b72036c45	20	40	20230407
a0f907866	20	40	20230404
a0f907866	20	40	20230405
a0f907866	20	40	20230406
a0f907866	20	40	20230407
76ce9d5f7	20	40	20230404
76ce9d5f7	20	40	20230405
76ce9d5f7	20	40	20230406
76ce9d5f7	20	40	20230407
460061ab8	20	40	20230404
460061ab8	20	40	20230405
460061ab8	20	40	20230406
460061ab8	20	40	20230407
9c0c965c9	20	40	20230404
9c0c965c9	20	40	20230405
9c0c965c9	20	40	20230406
9c0c965c9	20	40	20230407
532cc1c3b	20	40	20230404
532cc1c3b	20	40	20230405
532cc1c3b	20	40	20230406
532cc1c3b	20	40	20230407
fb1d6b50c	20	40	20230404
fb1d6b50c	20	40	20230405
fb1d6b50c	20	40	20230406
fb1d6b50c	20	40	20230407
0a2120d0e	20	40	20230404
0a2120d0e	20	40	20230405
0a2120d0e	20	40	20230406
0a2120d0e	20	40	20230407
06bfd741f	20	40	20230404
06bfd741f	20	40	20230405
06bfd741f	20	40	20230406
06bfd741f	20	40	20230407
0551d992g	20	40	20230404
0551d992g	20	40	20230405
0551d992g	20	40	20230406
0551d992g	20	40	20230407
740fc409h	20	40	20230404
740fc409h	20	40	20230405
740fc409h	20	40	20230406
740fc409h	20	40	20230407
dc56e7c0j	20	40	20230404
dc56e7c0j	20	40	20230405
dc56e7c0j	20	40	20230406
dc56e7c0j	20	40	20230407
02a9ee71k	20	40	20230404
02a9ee71k	20	40	20230405
02a9ee71k	20	40	20230406
02a9ee71k	20	40	20230407
ade14f48m	20	40	20230404
ade14f48m	20	40	20230405
ade14f48m	20	40	20230406
ade14f48m	20	40	20230407
68abda28n	20	40	20230404
68abda28n	20	40	20230405
68abda28n	20	40	20230406
68abda28n	20	40	20230407
d83a679ep	20	40	20230404
d83a679ep	20	40	20230405
d83a679ep	20	40	20230406
d83a679ep	20	40	20230407
df3d371fq	20	40	20230404
df3d371fq	20	40	20230405
df3d371fq	20	40	20230406
df3d371fq	20	40	20230407
3973ea35r	20	40	20230404
3973ea35r	20	40	20230405
3973ea35r	20	40	20230406
3973ea35r	20	40	20230407
8a966469s	20	40	20230404
8a966469s	20	40	20230405
8a966469s	20	40	20230406
8a966469s	20	40	20230407
8d978969t	20	40	20230404
8d978969t	20	40	20230405
8d978969t	20	40	20230406
8d978969t	20	40	20230407
6e03f027u	20	40	20230404
6e03f027u	20	40	20230405
6e03f027u	20	40	20230406
6e03f027u	20	40	20230407
fdcd79d7v	20	40	20230404
fdcd79d7v	20	40	20230405
fdcd79d7v	20	40	20230406
fdcd79d7v	20	40	20230407
aa8ebe0aw	20	40	20230404
aa8ebe0aw	20	40	20230405
aa8ebe0aw	20	40	20230406
aa8ebe0aw	20	40	20230407
ac59bae0x	20	40	20230404
ac59bae0x	20	40	20230405
ac59bae0x	20	40	20230406
ac59bae0x	20	40	20230407
1c1f3efay	20	40	20230404
1c1f3efay	20	40	20230405
1c1f3efay	20	40	20230406
1c1f3efay	20	40	20230407
426f2c6fz	20	40	20230404
426f2c6fz	20	40	20230405
426f2c6fz	20	40	20230406
426f2c6fz	20	40	20230407
885a4d780	20	40	20230404
885a4d780	20	40	20230405
885a4d780	20	40	20230406
885a4d780	20	40	20230407
7e69e0cc1	20	40	20230404
7e69e0cc1	20	40	20230405
7e69e0cc1	20	40	20230406
7e69e0cc1	20	40	20230407
9e81cf4a2	20	40	20230404
9e81cf4a2	20	40	20230405
9e81cf4a2	20	40	20230406
9e81cf4a2	20	40	20230407
729da7213	20	40	20230404
729da7213	20	40	20230405
729da7213	20	40	20230406
729da7213	20	40	20230407
9effddf54	20	40	20230404
9effddf54	20	40	20230405
9effddf54	20	40	20230406
9effddf54	20	40	20230407
565891c35	20	40	20230404
565891c35	20	40	20230405
565891c35	20	40	20230406
565891c35	20	40	20230407
c84af1c86	20	40	20230404
c84af1c86	20	40	20230405
c84af1c86	20	40	20230406
c84af1c86	20	40	20230407
5b03325d7	20	40	20230404
5b03325d7	20	40	20230405
5b03325d7	20	40	20230406
5b03325d7	20	40	20230407
5adeebdb8	20	40	20230404
5adeebdb8	20	40	20230405
5adeebdb8	20	40	20230406
5adeebdb8	20	40	20230407
4dfdab2f9	20	40	20230404
4dfdab2f9	20	40	20230405
4dfdab2f9	20	40	20230406
4dfdab2f9	20	40	20230407
aedc0c70b	20	40	20230404
aedc0c70b	20	40	20230405
aedc0c70b	20	40	20230406
aedc0c70b	20	40	20230407
431989eec	20	40	20230404
431989eec	20	40	20230405
431989eec	20	40	20230406
431989eec	20	40	20230407
5a415ff7d	20	40	20230404
5a415ff7d	20	40	20230405
5a415ff7d	20	40	20230406
5a415ff7d	20	40	20230407
d1897990e	20	40	20230404
