geohash_id	consumption_level	activity_level	date_id
4885e281g	59.31006	68.11378	20230404
4885e281g	60.107986	67.2528	20230405
4885e281g	61.4647	68.032845	20230406
4885e281g	61.39634	67.2922	20230407
5324516fr	48.835873	59.683933	20230404
5324516fr	48.056618	63.784702	20230405
5324516fr	48.43831	61.198536	20230406
5324516fr	49.23539	59.101685	20230407
7941bac5t	46.616676	60.913303	20230404
7941bac5t	46.467087	64.07652	20230405
7941bac5t	47.16596	63.226856	20230406
7941bac5t	49.961754	61.98391	20230407
94bf2e47u	48.096664	61.762924	20230404
94bf2e47u	49.85876	63.62231	20230405
94bf2e47u	50.904274	63.01996	20230406
94bf2e47u	48.231857	58.5457	20230407
651310f3v	55.207016	64.240875	20230404
651310f3v	56.283325	64.905365	20230405
651310f3v	59.10145	68.28018	20230406
651310f3v	57.88662	65.306526	20230407
5da786a8w	37.223938	59.37518	20230404
5da786a8w	35.074467	50.543663	20230405
5da786a8w	42.801517	56.21542	20230406
5da786a8w	39.658737	53.831947	20230407
9292842fy	39.731155	60.117104	20230404
9292842fy	42.109226	85.18201	20230405
9292842fy	45.49963	57.116398	20230406
9292842fy	42.205902	85.853615	20230407
abb13720z	52.265568	65.89854	20230404
abb13720z	54.017628	73.13022	20230405
abb13720z	55.42488	62.05254	20230406
abb13720z	53.622158	64.84124	20230407
babadee5r	62.679775	67.67327	20230404
babadee5r	65.48848	67.92752	20230405
babadee5r	65.54025	67.7824	20230406
babadee5r	66.75674	69.06249	20230407
c2382486x	60.970665	69.389565	20230404
c2382486x	62.320057	69.4869	20230405
c2382486x	63.258835	67.65878	20230406
c2382486x	63.36276	68.84551	20230407
6b9789f2z	50.775265	63.216984	20230404
6b9789f2z	52.45238	67.83914	20230405
6b9789f2z	53.276405	64.73516	20230406
6b9789f2z	52.673428	67.74209	20230407
b5dbab8e1	69.01279	71.49364	20230404
b5dbab8e1	70.73446	73.050606	20230405
b5dbab8e1	72.74165	72.819145	20230406
b5dbab8e1	73.26187	71.82677	20230407
dc36a53e3	54.06654	66.180534	20230404
dc36a53e3	54.59624	65.58921	20230405
dc36a53e3	55.385414	66.5667	20230406
dc36a53e3	57.53639	67.02486	20230407
66c0fb934	64.51287	68.3881	20230404
66c0fb934	65.90709	70.660164	20230405
66c0fb934	67.25275	71.67965	20230406
66c0fb934	68.42585	69.198845	20230407
b72036c45	58.772343	66.75938	20230404
b72036c45	59.334732	71.69694	20230405
b72036c45	61.509144	68.98732	20230406
b72036c45	61.67637	67.582184	20230407
a0f907866	59.702366	65.12395	20230404
a0f907866	62.007164	68.19927	20230405
a0f907866	63.944138	67.1956	20230406
a0f907866	64.892265	66.07363	20230407
76ce9d5f7	55.340347	61.647465	20230404
76ce9d5f7	57.53616	64.199974	20230405
76ce9d5f7	58.341076	65.98008	20230406
76ce9d5f7	58.80689	64.77803	20230407
460061ab8	54.11885	60.462685	20230404
460061ab8	57.911156	61.965664	20230405
460061ab8	57.655224	61.514523	20230406
460061ab8	58.78965	62.52649	20230407
9c0c965c9	50.651024	60.95194	20230404
9c0c965c9	54.40676	63.101036	20230405
9c0c965c9	56.982407	65.43617	20230406
9c0c965c9	58.458496	70.79704	20230407
532cc1c3b	61.64118	62.45083	20230404
532cc1c3b	65.02719	64.522026	20230405
532cc1c3b	64.98119	64.85331	20230406
532cc1c3b	66.067345	65.97232	20230407
fb1d6b50c	58.21284	64.112114	20230404
fb1d6b50c	60.096863	66.3435	20230405
fb1d6b50c	61.087315	65.61014	20230406
fb1d6b50c	62.189682	66.245346	20230407
0a2120d0e	53.989254	62.915066	20230404
0a2120d0e	55.483017	62.92413	20230405
0a2120d0e	57.015244	63.925045	20230406
0a2120d0e	56.83627	62.34633	20230407
06bfd741f	63.046703	65.667816	20230404
06bfd741f	68.07966	76.87847	20230405
06bfd741f	69.11678	69.17447	20230406
06bfd741f	71.04624	69.95074	20230407
0551d992g	70.15783	69.59116	20230404
0551d992g	74.84545	72.09846	20230405
0551d992g	75.76739	72.76347	20230406
0551d992g	76.47701	71.920586	20230407
740fc409h	54.981983	64.90008	20230404
740fc409h	58.27503	65.54727	20230405
740fc409h	58.689503	64.709206	20230406
740fc409h	58.54778	65.999245	20230407
dc56e7c0j	58.84984	62.77875	20230404
dc56e7c0j	63.034855	67.05171	20230405
dc56e7c0j	63.207214	66.12793	20230406
dc56e7c0j	62.882996	66.33404	20230407
02a9ee71k	63.8765	71.374176	20230404
02a9ee71k	66.29288	70.96067	20230405
02a9ee71k	66.88727	70.499855	20230406
02a9ee71k	67.67304	69.73213	20230407
ade14f48m	61.160587	69.044235	20230404
ade14f48m	63.69684	66.96162	20230405
ade14f48m	64.487236	67.82404	20230406
ade14f48m	63.55386	65.30838	20230407
68abda28n	62.221256	67.4757	20230404
68abda28n	65.1293	70.16602	20230405
68abda28n	65.64709	71.14848	20230406
68abda28n	67.22293	69.01634	20230407
d83a679ep	65.09904	66.97793	20230404
d83a679ep	68.296036	72.2411	20230405
d83a679ep	68.42343	69.352875	20230406
d83a679ep	68.89798	69.649055	20230407
df3d371fq	57.607594	64.43057	20230404
df3d371fq	60.22709	66.8473	20230405
df3d371fq	58.810986	65.94614	20230406
df3d371fq	58.911964	64.61094	20230407
3973ea35r	67.796394	68.48576	20230404
3973ea35r	70.96877	69.21459	20230405
3973ea35r	70.15036	69.08896	20230406
3973ea35r	72.086296	69.169266	20230407
8a966469s	58.822994	68.547386	20230404
8a966469s	61.190914	67.47747	20230405
8a966469s	61.389797	68.23594	20230406
8a966469s	62.003162	68.5398	20230407
8d978969t	51.019638	68.642494	20230404
8d978969t	52.67429	66.18918	20230405
8d978969t	54.038975	69.459145	20230406
8d978969t	54.3748	65.58902	20230407
6e03f027u	59.86371	67.87168	20230404
6e03f027u	63.411633	67.08107	20230405
6e03f027u	63.481503	68.260994	20230406
6e03f027u	64.4374	68.6341	20230407
fdcd79d7v	42.56272	67.65524	20230404
